"CCN","RPT_NUM","HOSP_NAME","ADDRESS","ZIP","CST_CHRG","NET_REV_CAID","CAID_COST","DIFF_CAID_REV","TOT_UNCOMP_COST","BAD_DEBT","COST_UNCOMP","CHAR_CHRG_UNIN","CHAR_CHRG_TOT","COST_CHAR_UNIN","COST_CHAR_TOT","CHAR_CHRG_INS","COST_CHAR_INS","DISCHRG","DISCHRG_HMO","HOSP_CHRG_INPAT","HOSP_CHRG_OUTPAT","HOSP_CHRG_TOT"
"340051",756673,"WATAUGA MEDICAL CENTER","336 DEERFIELD ROAD_BOONE_NC","28607",0.287251,NA,2264545,2471459,6433031,11504951,3961572,2225902,2225902,639393,639393,NA,NA,988,627,102586509,302395563,404982072
"341323",756679,"CHARLES A. CANNON MEMORIAL HOSPITAL","434 HOSPITAL DRIVE_LINVILLE_NC","28646",0.410664,374321,354151,0,971333,2103395,971333,265501,265501,109032,109032,NA,NA,93,71,5615564,35439697,41055261
"530034",757078,"SUMMIT MEDICAL CENTER  LLC","6350 E 2ND STREET_CASPER_WY","82609",0.368867,79662,850495,770833,962985,520926,192152,NA,NA,NA,NA,NA,NA,30,NA,2743996,35495780,38239776
"230003",757346,"COREWELL HEALTH ZEELAND","100 S PINE STREET_ZEELAND_MI","49464",0.246158,2905688,4865751,800799,1733743,2670612,932944,923328,970575,227285,268393,47247,41108,132,341,29777752,111655598,141433350
"330163",757375,"EASTERN NIAGARA HOSPITAL","521 EAST AVENUE_LOCKPORT_NY","14094",0.418143,1462570,3791040,2328470,2524339,456615,195869,1822,5999,762,4939,4177,4177,37,41,4618355,29365713,33984068
"030010",757634,"CARONDELET ST. MARYS HOSPITAL","1601 W. ST. MARYS ROAD_TUCSON_AZ","85745",0.079492,21848201,24118099,2969476,5615557,11817707,2646081,20157914,20157914,1600483,1600483,NA,NA,1187,2596,1138288311,534483804,1672772115
"030011",757635,"CARONDELET ST. JOSEPH HOSPITAL","350 NORTH WILMOT ROAD_TUCSON_AZ","85732",0.085602,30562968,32895826,0,3137955,15011728,3137955,20076095,20076095,1718554,1718554,NA,NA,1589,2671,1345134428,718574560,2063708988
"190204",757868,"OCHSNER MEDICAL CENTER -NORTHSHORE","100 MEDICAL CENTER DRIVE_SLIDELL_LA","70461",0.207721,3945199,3965440,20241,1040807,1735078,1017709,2316017,2495971,480881,647171,179954,166290,96,182,27932197,97571214,125503411
"230230",757885,"EDWARD W. SPARROW HOSPITAL","1215 E. MICHIGAN AVE_LANSING_MI","48912",0.235581,44194503,76599055,4684260,11951908,11693860,7267648,14505591,15387754,3417242,4299405,882163,882163,1719,3295,762648870,953534574,1716183444
"230208",758107,"CARSON CITY HOSPITAL","406 EAST ELM STREET_CARSON CITY_MI","48811",0.343119,1322723,3782174,1691186,2209699,699977,518513,599804,671659,205804,277659,71855,71855,58,72,5086302,58131003,63217305
"390339",758178,"LANCASTER MEDICAL CENTER","2160 STATE ROAD_LANCASTER_PA","17601",0.410151,14513359,15425612,912253,3230501,472071,2318248,5080872,5123228,2083925,2126281,42356,42356,581,NA,115453461,136497557,251951018
"460003",758595,"SALT LAKE REGIONAL MEDICAL CENTER","1050 EAST SOUTH TEMPLE_SALT LAKE CITY_UT","84102",0.456301,855561,1924961,1069400,1543492,NA,474092,1038990,1038990,474092,474092,NA,NA,62,66,22198832,26152937,48351769
"140167",759187,"IROQUOIS MEMORIAL HOSPITAL","200 FAIRMAN AVENUE_WATSEKA_IL","60970",0.405819,412684,6099593,5686909,6460265,1639808,773356,260619,263791,105764,108936,3172,3172,114,31,8559359,51560598,60119957
"500148",759615,"WENATCHEE VALLEY HOSPITAL","820 N CHELAN AVENUE_WENATCHEE_WA","98807",0.483238,7608401,12669368,5060967,5975674,871918,914707,588942,841278,284599,536935,252336,252336,64,36,9430932,189250822,198681754
"250172",760885,"DELTA HEALTH-HIGHLAND HILLS","401 GETWELL DRIVE_SENATOBIA_MS","38668",0.333215,646728,900432,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,39,1581176,16558793,18139969
"510012",760912,"PLEASANT VALLEY HOSPITAL","VALLEY DRIVE_POINT PLEASANT_WV","25550",0.322426,2849317,10487253,2150006,3149481,1773259,999475,263528,605343,84968,426783,341815,341815,302,197,25316181,135706724,161022905
"131324",761050,"LOST RIVERS HOSPITAL","551 HIGHLAND DRIVE_ARCO_ID","83213",0.870049,1230101,2091934,714728,1265862,667347,551134,669,669,582,582,NA,NA,11,NA,132752,14129158,14261910
"191303",761067,"OUR LADY OF THE LAKE ASSUMPTION COM","135 HIGHWAY 402_NAPOLEONVILLE_LA","70390",0.74326,348229,322697,0,48261,37285,48261,28418,28659,21122,21363,241,241,NA,NA,NA,1132247,1132247
"451372",761108,"MULESHOE AREA MEDICAL CENTER","708 SOUTH FIRST STREET_MULESHOE_TX","79347",0.888074,278621,1899623,1087793,2873551,482705,1785758,1543689,1543689,1370910,1370910,NA,NA,19,NA,312763,9358402,9671165
"250163",761151,"PATIENTS CHOICE MED CNT-SMITH CNTY","347 MAGNOLIA DRIVE_RALEIGH_MS","39153",6.580241,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,115259,NA,115259
"250043",761298,"NESHOBA COUNTY GENERAL HOSPITAL","1001 HOLLAND AVENUE_PHILADELPHIA_MS","39350",0.531768,8079617,7442541,0,2927142,4745367,2894663,391522,595269,208199,411946,203747,203747,301,1,23147342,65971106,89118448
"100157",761628,"LAKELAND REGIONAL MED CTR","1324 LAKELAND HILLS BLVD_LAKELAND_FL","33805",0.168853,62317880,142727015,42249377,110581671,91788429,65339404,274904445,282876059,46417975,49263370,7971614,2845395,9037,12239,2477655144,2753594303,5231249447
"110161",761636,"NORTHSIDE HOSPITAL","1000 JOHNSON FERRY ROAD  NE_ATLANTA_GA","30342",0.195764,101873331,133198305,0,149261371,97408613,149261371,553424376,575142462,108340570,130058656,21718086,21718086,3794,2771,2879376189,7277264219,10156640408
"130025",761638,"MADISON MEMORIAL HOSPITAL","450 EAST MAIN ST_REXBURG_ID","83440",0.44046,13409285,19406387,0,2108648,4497204,2108648,224567,259535,98913,133881,34968,34968,204,91,51696875,131609670,183306545
"370030",761834,"BLACKWELL REGIONAL HOSPITAL","710 SOUTH 13TH_BLACKWELL_OK","74631",0.230817,914650,1636859,722209,1213648,1033296,491439,209194,406856,48286,245948,197662,197662,59,NA,3477900,26921757,30399657
"370139",762196,"PERRY MEMORIAL HOSPITAL","501 N 14TH STREET_PERRY_OK","73077",0.346541,24374,513044,488670,625112,366283,136442,22687,24265,7862,9440,1578,1578,14,NA,859704,7134549,7994253
"010051",762236,"GREENE COUNTY HOSPITAL","509 WILSON AVENUE_EUTAW_AL","35462",0.929984,1765173,3835379,1862403,1896043,36173,33640,NA,NA,NA,NA,NA,NA,12,NA,8009496,4002830,12012326
"250018",762411,"JASPER GENERAL HOSPITAL","15 SOUTH 6TH STREET_BAY SPRINGS_MS","39422",0.866437,63746,267728,203982,203982,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,11084106,8022277,19106383
"471300",762551,"GRACE COTTAGE HOSPITAL","185 GRAFTON ROAD_TOWNSHEND_VT","05353",0.650569,1142992,2944869,1801877,2541875,954741,739998,42994,152773,27485,131033,109779,103548,61,NA,8876565,31295293,40171858
"110111",762795,"UNIVERSITY HOSPITAL MCDUFFIE","2460 WASHINGTON RD  NE_THOMSON_GA","30824",0.220445,1182143,1424385,0,1260605,1992547,1260605,3497976,3544551,771111,817683,46575,46572,110,138,9687416,45082932,54770348
"420072",762842,"HAMPTON REGIONAL MEDICAL CENTER","503 CAROLINA WEST_VARNVILLE_SC","29944",0.336425,2341230,3699511,418189,2124884,3356015,1706695,1427142,1523369,480126,576353,96227,96227,154,200,11834478,63906279,75740757
"140052",762968,"OSF SAINT ANTHONYS HEALTH CENTER","1 SAINT ANTHONYS WAY_ALTON_IL","62002",0.199933,12165766,19442521,7276755,9755924,3532916,2479169,6310957,6767896,1261769,1718708,456939,456939,749,726,86325810,332451032,418776842
"134002",763108,"INTERMOUNTAIN","303 N ALLUMBAUGH STREET_BOISE_ID","83704",NA,NA,NA,0,21202,NA,21202,NA,NA,NA,NA,NA,NA,250,390,125092800,11024370,136117170
"420067",763161,"BEAUFORT MEMORIAL HOSPITAL","955 S. RIBAUT ROAD_BEAUFORT_SC","29902",0.225032,18556021,18671394,0,8069934,26963657,7900619,5949385,6534791,1146418,1731824,585406,585406,2405,1458,262366264,661951629,924317893
"450085",763264,"GRAHAM REGIONAL MEDICAL CENTER","1301 MONTGOMERY ROAD_GRAHAM_TX","76450",0.298974,1710,3196,0,2496567,5144562,2496567,3259674,3259674,956591,956591,NA,NA,59,26,3871849,57832171,61704020
"031313",763306,"CARONDELET HOLY CROSS HOSPITAL","1171 W TARGET RANGE ROAD_NOGALES_AZ","85621",0.095925,8936565,8010130,6240943,7408768,5538387,1167825,5192574,5192574,498098,498098,NA,NA,36,134,41103579,152498913,193602492
"070031",763314,"THE GRIFFIN HOSPITAL","130 DIVISION STREET_DERBY_CT","06418",0.188608,30412824,41096815,10683991,12713717,1770489,2029726,8887446,8887446,1676243,1676243,NA,NA,1380,1881,354057202,708434410,1062491612
"250060",763500,"JEFFERSON COUNTY HOSPITAL","809 S. MAIN STREET_FAYETTE_MS","39069",0.352381,455544,431417,0,579339,1030017,579339,614252,614252,216451,216451,NA,NA,46,15,5498090,7036234,12534324
"180106",763688,"THE MEDICAL CENTER OF ALBANY","723 BURKESVILLE ROAD_ALBANY_KY","42602",0.277534,1122582,1926055,0,200960,420960,200960,211151,230963,58602,78414,19812,19812,87,53,4889225,18621603,23510828
"110189",763817,"FANNIN REGIONAL HOSPITAL","2855 OLD HIGHWAY 5 NORTH_BLUE RIDGE_GA","30513",0.172828,1080287,1778834,0,1659862,3290789,1659862,6232378,6232378,1077129,1077129,NA,NA,77,NA,11562336,75796072,87358408
"131302",763819,"NORTH CANYON MEDICAL CENTER","267 NORTH CANYON DRIVE_GOODING_ID","83330",0.534381,10363703,9609800,0,1011607,1508306,1011607,135166,268533,72230,205597,133367,133367,127,54,9135448,78480448,87615896
"250097",763830,"SOUTHWEST MS REGIONAL MED CENTER","215 MARION AVENUE_MCCOMB_MS","39648",0.286093,27008445,17956249,0,6347282,15651886,6347282,6004304,6129503,1717789,1842988,125199,125199,1292,714,98916831,319693146,418609977
"431325",763844,"MOBRIDGE REGIONAL HOSPITAL","140110TH AVE WEST_MOBRIDGE_SD","57601",0.558374,2685073,3773057,1006656,2122295,1757490,1115639,240524,240524,134302,134302,NA,NA,170,11,6073752,37231469,43305221
"490115",763944,"TWIN COUNTY REGIONAL HOSPITAL","200 HOSPITAL DRIVE_GALAX_VA","24333",0.12672,7882801,10019911,0,915084,3311824,899094,3459645,3459645,438406,438406,NA,NA,624,810,87211936,206147395,293359331
"251305",763992,"LAWRENCE COUNTY HOSPITAL","1065 EAST BROAD STREET_MONTICELLO_MS","39654",0.763182,1948791,NA,0,1373249,1592061,1336606,14919,128984,11386,125451,114065,114065,114,3,3085575,12749899,15835474
"010034",764070,"COMMUNITY HOSPITAL INC.","805 FRIENDSHIP DRIVE_TALLASSEE_AL","36078",0.602199,913858,1611441,0,1043652,1552325,1043652,161894,185099,95551,118309,23205,22758,116,145,5641414,21061757,26703171
"371324",764130,"HARPER COUNTY COMMUNITY HOSPITAL","1003 HIGHWAY 64_BUFFALO_OK","73834",0.782411,337672,503215,52016,189590,138627,137574,24522,39635,19186,34299,15113,15113,61,NA,1177779,5395449,6573228
"140110",764169,"OTTAWA REGIONAL HOSPITAL & HEALTHCAR","1100 EAST NORRIS DRIVE_OTTAWA_IL","61350",0.196032,18645689,25081962,6436273,9914860,4679802,3478587,6921778,8059703,1356890,2494815,1137925,1137925,1231,615,114296120,480717914,595014034
"241376",764194,"GLACIAL RIDGE HOSPITAL","10 FOURTH AVENUE SE_GLENWOOD_MN","56334",0.562995,251839,334397,82558,558096,280174,475538,295891,448562,166049,318564,152671,152515,223,110,12394258,68886355,81280613
"471301",764226,"GIFFORD MEDICAL CENTER","44 SOUTH MAIN STREET_RANDOLPH_VT","05060",0.465528,820917,8158620,6886309,8253563,2149281,1367254,68362,403242,31824,366704,334880,334880,288,70,16169957,91547306,107717263
"321312",764286,"ALTA VISTA REGIONAL HOSPITAL","1235 8TH STREET_LAS VEGAS_NM","87701",0.195604,668548,1442911,713962,802755,447851,88793,189811,189811,1192,1192,NA,NA,5,NA,2618645,18986785,21605430
"421301",764303,"ABBEVILLE AREA MEDICAL CENTER","ABBEVILLE AREA MEDICAL CENTER_ABBEVILLE_SC","29620",0.501684,274491,441557,0,3382898,6831654,3382898,NA,NA,NA,NA,NA,NA,123,169,8966308,81834052,90800360
"451300",764308,"PARMER COUNTY COMMUNITY HOSPITAL","1307 CLEVELAND STREET_FRIONA_TX","79035",0.996966,757455,1331611,0,1974463,763051,1974463,1241067,1241067,1237302,1237302,NA,NA,64,NA,2188850,10449769,12638619
"490005",764311,"WINCHESTER MEDICAL CENTER","1840 AMHERST STREET_WINCHESTER_VA","22604",0.376079,60010134,85796471,25786337,45333706,30261848,19547369,10900289,15541151,3846105,8213675,4640862,4367570,7883,3459,808165772,866192768,1674358540
"070040",764321,"HEBREW HOME & HOSPITAL","ONE ABRAHAMS BLVD_WEST HARTFORD_CT","06117",0.78021,NA,NA,0,62008,84153,62008,NA,NA,NA,NA,NA,NA,NA,NA,11860995,NA,11860995
"101307",764328,"DOCTORS MEMORIAL HOSPITAL","2600 HOSPITAL DRIVE_BONIFAY_FL","32425",0.317572,1,3,2,179160,511879,179158,NA,NA,NA,NA,NA,NA,127,73,8123658,56173438,64297096
"521348",764368,"VERNON MEMORIAL HOSPITAL","507 SOUTH MAIN ST_VIROQUA_WI","54665",0.417771,6663526,8202195,1538669,3460041,2350116,1921372,1641470,1949318,685759,993607,307848,307848,232,22,15978649,128486568,144465217
"010087",764369,"USA HEALTH UNIVERSITY HOSPITAL","2451 UNIVERSITY HOSPITAL DRIVE_MOBILE_AL","36617",0.30406,74280757,49730711,0,30313927,71780684,30313927,27555976,27623772,8378670,8446466,67796,67796,1433,2864,581379051,461128015,1042507066
"031311",764371,"WINSLOW MEMORIAL HOSPITAL","1501 N WILLIAMSON AVE_WINSLOW_AZ","86047",0.294009,12384868,16596996,0,1817289,4978147,1817289,1141688,1185207,330779,351926,43519,21147,215,61,28486915,93176588,121663503
"110121",764381,"GRADY GENERAL HOSPITAL","1155 5TH ST SE_CAIRO_GA","39828",0.320613,3970210,4449525,0,5045267,4080883,5014739,11131840,11266613,3569013,3703786,134773,134773,80,114,17479463,66291481,83770944
"111331",764382,"MITCHELL COUNTY HOSPITAL","90 STEPHENS STREET_CAMILLA_GA","31728",0.498498,2594015,4300682,1163248,8245820,4103702,7040867,9316226,9701046,4644120,5028940,384820,384820,17,29,25670852,47697152,73368004
"131318",764385,"WALTER KNOX MEMORIAL HOSPITAL","1202 EAST LOCUST_EMMETT_ID","83617",0.706412,2492922,4400277,1422431,2315852,1181476,893421,90064,92714,63622,66272,2650,2650,38,8,2814663,28211043,31025706
"170150",764394,"SOUTH CENTRAL KS REGIONAL MEDICAL CT","216 WEST BIRCH_ARKANSAS CITY_KS","67005",0.458415,4900491,2303695,0,1334377,2642119,1334377,73895,163210,33875,123190,89315,89315,88,50,4641937,28373470,33015407
"340008",764432,"SCOTLAND MEMORIAL HOSPITAL","500 LAUCHWOOD DRIVE_LAURINBURG_NC","28352",0.228595,32630859,35978050,0,14302922,25966502,14302922,31659279,32616805,7237153,8194679,957526,957526,1041,1817,235658193,506101741,741759934
"490033",764452,"WARREN MEMORIAL HOSPITAL","351 VALLEY HEALTH WAY_FRONT ROYAL_VA","22630",0.412328,7654079,15461298,7807219,11502499,7208483,3695280,974388,1404497,345362,739615,430109,394253,887,369,44232516,185741863,229974379
"030138",764484,"WESTERN REGIONAL MEDICAL CENTER","14200 WEST CELEBRATE LIFE WAY_GOODYEAR_AZ","85338",0.199372,1774330,746517,0,18465390,2012042,18465390,NA,21210230,NA,18050546,21210230,18050546,158,NA,54989043,749849640,804838683
"031307",764485,"PARKER INDIAN HEALTH CENTER","12033 AGENCY ROAD_PARKER_AZ","85344",68.891109,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,2522,210144,212666
"110038",764499,"JOHN D. ARCHBOLD MEMORIAL HOSPITAL","GORDON AVENUE AT MIMOSA DRIVE_THOMASVILLE_GA","31792",0.272791,23781505,25053692,0,29101078,26338129,29101078,72849782,74796461,19872765,21819444,1946679,1946679,1574,2544,343002203,595540008,938542211
"130071",764502,"ST. LUKES NAMPA MEDICAL CENTER","9850 W. ST. LUKES DRIVE_NAMPA_ID","83687",0.318283,26879071,34040200,2472677,11723712,15461337,9247870,8776380,10457250,2793373,4318497,1680870,1525124,815,1078,221546987,357127933,578674920
"131308",764503,"CASCADE MEDICAL CENTER","402 OLD STATE HIGHWAY_CASCADE_ID","83611",0.993301,590044,1191554,601510,988957,322577,387447,52565,162357,NA,67031,109792,67031,13,7,464110,6849494,7313604
"131310",764504,"ST. LUKES JEROME LTD","709 N. LINCOLN AVE_JEROME_ID","83338",0.634992,2812931,6955596,2646945,4936599,2026222,2289654,1210525,1462941,768674,1021090,252416,252416,38,45,8590843,23675243,32266086
"171328",764515,"GREAT PLAINS OF OTTAWA COUNTY  INC","215 EAST EIGHTH_MINNEAPOLIS_KS","67467",1.003039,136844,402436,178055,247181,77398,69126,8853,25813,788,10265,16960,9477,70,5,4445004,3134464,7579468
"201312",764521,"WALDO COUNTY GENERAL HOSPITAL","118 NORTHPORT AVENUE_BELFAST_ME","04915",0.466081,18443074,24287980,4798749,9054128,6363339,4255379,667036,1768364,310893,1405312,1101328,1094419,341,295,32064665,183566048,215630713
"340068",764539,"COLUMBUS REGIONAL HEALTHCARE SYSTEM","500 JEFFERSON STREET_WHITEVILLE_NC","28472",0.237397,4210515,4094660,0,4848034,16665814,4847435,3753296,3753296,891021,891021,NA,NA,718,636,113222678,278388917,391611595
"421304",764546,"EDGEFIELD COUNTY HEALTHCARE","300 RIDGE MEDICAL PLAZA_EDGEFIELD_SC","29824",0.821214,950655,2212383,75470,2245862,2451728,2170392,208274,208274,171038,171038,NA,NA,25,3,2746452,20830907,23577359
"010021",764568,"DALE MEDICAL CENTER","126 HOSPITAL_OZARK_AL","36360",0.243709,3055005,4814802,0,2512717,9517551,2512717,616381,649895,150218,183732,33514,33514,208,6,21582104,114637850,136219954
"050169",764579,"PIH HEALTH WHITTIER HOSPITAL","12401 EAST WASHINGTON BLVD_WHITTIER_CA","90602",0.134031,NA,NA,0,7013611,11297579,7013611,32546668,33299311,4362262,5114905,752643,752643,3090,7508,2365693753,2537962550,4903656303
"050393",764581,"PIH HEALTH HOSPITAL - DOWNEY","11500 BROOKSHIRE AVENUE_DOWNEY_CA","90241",0.123825,NA,NA,0,3628325,5242020,3628325,21213910,21364110,2626812,2777012,150200,150200,1371,3139,665982529,655319614,1321302143
"110233",764591,"SOUTHEASTERN REGIONAL MEDICAL CENTER","600 PARKWAY NORTH_NEWNAN_GA","30265",0.18192,3220254,4638601,1418347,20320576,7506260,18902229,14488627,29350776,2635771,17497920,14862149,14862149,231,NA,102873284,1207805556,1310678840
"131311",764592,"ST. LUKES ELMORE MEDICAL CENTER","895 N. SIXTH EAST_MOUNTAIN HOME_ID","83647",0.414202,5674899,8871520,2947298,5213638,3206198,2264000,1447934,1797128,599737,948931,349194,349194,114,101,22077206,76405999,98483205
"200021",764599,"MID COAST HOSPITAL","123 MEDICAL CENTER DRIVE_BRUNSWICK_ME","04011",0.384096,12698989,24841526,9728387,16892812,11831217,7164425,1667559,3664461,640503,2633407,1996902,1992904,1341,1309,163380874,395572413,558953287
"220084",764600,"EMERSON HOSPITAL","113 ORNC_CONCORD_MA","01742",0.458914,10941091,17432325,6491234,11547641,5630149,5056407,2803816,4089073,1286710,2571967,1285257,1285257,2298,NA,174559052,567494263,742053315
"250100",764610,"BAPTIST MEM HOSPITAL GOLDEN TRIANGLE","2520 FIFTH STREET NORTH_COLUMBUS_MS","39701",0.17743,21230538,21998485,0,25627454,20818130,12971197,50637450,50654893,8984603,9002046,17443,17443,2828,1190,347933299,707977840,1055911139
"251333",764611,"PEARL RIVER COUNTY HOSPITAL","305 WEST MOODY STREET_POPLARVILLE_MS","39470",0.65157,2414848,2357682,0,1863873,1241569,1809826,1124548,1399135,732722,1007309,274587,274587,5,1,15984808,14757432,30742240
"301303",764624,"WEEKS MEDICAL CENTER","173 MIDDLE STREET_LANCASTER_NH","03584",0.661473,7996516,9501288,1504772,2951088,1767733,1446316,112747,315176,74579,277008,202429,202429,217,106,11247811,101117842,112365653
"340024",764634,"SAMPSON REGIONAL MEDICAL CENTER","607 BEAMAN STREET_CLINTON_NC","28328",0.222831,9053799,7434916,0,4703344,10423642,4703344,10032411,10460905,2235215,2365797,428494,130582,496,695,52876402,133180629,186057031
"340070",764635,"ALAMANCE REGIONAL MEDICAL CENTER","1240 HUFFMAN MILL ROAD_BURLINGTON_NC","27215",0.257392,45837660,31334104,0,19294524,33113442,19292317,41381033,41381033,10651147,10651147,NA,NA,1865,4336,409001498,594120828,1003122326
"340091",764636,"THE MOSES H. CONE MEMORIAL HOSPITAL","1200 NORTH ELM ST_GREENSBORO_NC","27401",0.293625,261069106,172657153,0,81638873,123680409,81627097,153882487,153882487,45183745,45183745,NA,NA,6118,NA,1886703787,2463653456,4350357243
"340142",764637,"CARTERET COUNTY GENERAL HOSPITAL COM","3500 ARENDELL STREET_MOREHEAD CITY_NC","28557",0.317166,2654399,2454796,0,10047766,27625709,10047766,2088913,2706996,662532,1280615,618083,618083,2015,870,129472303,381512530,510984833
"461310",764663,"BLUE MOUNTAIN HOSPITAL","802 SOUTH 200 WEST_BLANDING_UT","84511",0.409069,6819099,7100236,0,388661,896601,388661,53510,53510,21889,21889,NA,NA,99,6,6367855,37243966,43611821
"491302",764672,"CARILION GILES COMMUNITY HOSPITAL","159 HARTLEY WAY_PEARISBURG_VA","24134",0.37422,4277984,8190275,3912291,5459450,3087766,1544917,905948,971866,339024,397730,65918,58706,350,339,33160248,169546148,202706396
"491304",764673,"CARILION ROCKBRIDGE COMMUNITY HOSP","1 HEALTH CIRCLE_LEXINGTON_VA","24450",0.238662,5281706,7618296,2336590,3872716,3858256,1528322,1684753,1859525,402087,559566,174772,157479,539,419,41098637,181648903,222747540
"070021",764694,"WINDHAM COMMUNITY MEMORIAL HOSPITAL","112 MANSFIELD AVE_WILLIMANTIC_CT","06226",0.315495,15612455,26487415,13615451,16622915,3094571,3007464,5956107,6142451,1879122,2026877,186344,147755,645,834,72056217,285481246,357537463
"100022",764696,"JACKSON MEMORIAL","1611 NW 12TH AVENUE_MIAMI_FL","33136",0.319433,127098225,498088953,370990728,605402994,365603210,234412266,349940079,359744596,111293177,117509471,9804517,6216294,5531,12930,4786843301,2178763023,6965606324
"100087",764698,"SARASOTA MEMORIAL HOSPITAL","1700 S. TAMIAMI TRAIL_SARASOTA_FL","34239",0.159975,14013026,141849644,97611257,136149304,150090954,38203198,81365621,82322925,13016465,13657460,957304,640995,17639,9760,3878178276,2633473959,6511652235
"140100",764703,"MIDWESTERN REGIONAL MEDICAL CENTER","2501 EMMAUS AVENUE_ZION_IL","60099",0.216912,5997565,3976675,0,4871791,4742520,4871791,67705,3877243,14686,3824224,3809538,3809538,147,NA,84448947,825277001,909725948
"141302",764704,"MIDWEST MEDICAL CENTER","1 MEDICAL CENTER DRIVE_GALENA_IL","61036",0.63251,5692948,6078204,385256,903694,498141,518438,57124,224351,36132,203359,167227,167227,141,28,11362276,35733337,47095613
"141353",764706,"IROQUOIS MEMORIAL HOSPITAL","200 FAIRMAN AVENUE_WATSEKA_IL","60970",0.487797,1104301,1487309,383008,390899,1,7891,16177,16177,7891,7891,NA,NA,22,11,1571379,12947916,14519295
"190065",764715,"BATON ROUGE GENERAL","8585 PICARDY AVENUE_BATON ROUGE_LA","70809",0.267839,38980334,60630341,21650007,29656267,22631827,8006260,6494409,6567447,1734100,1807138,73038,73038,3265,3586,591297129,849733432,1441030561
"190111",764716,"WILLIS-KNIGHTON HEALTH SYSTEMS","2600 GREENWOOD ROAD_SHREVEPORT_LA","32600",0.217262,84499268,158609594,0,19416111,48248095,19416111,34113158,35305908,7411493,8604243,1192750,1192750,9093,6586,1835405527,2187111713,4022517240
"201302",764718,"LINCOLNHEALTH","6 ST. ANDREWS LANE_BOOTHBAY HARBOR_ME","04538",0.565043,10911875,21660841,10388392,15670927,5803822,5282535,308048,2208366,174060,2074336,1900318,1900276,330,357,37991573,154920122,192911695
"220135",764721,"FALMOUTH HOSPITAL","100 TER HEUN DRIVE_FALMOUTH_MA","02574",0.322854,12363281,18990919,4405720,6867388,3818163,2461668,3324582,3470256,1073355,1203992,145674,130637,3143,NA,150641211,329926366,480567577
