"ccn","RPT_REC_NUM","S100001_00100_00100","S100001_00200_00100","S100001_00700_00100","S100001_00800_00100","S100001_03100_00100","S100001_02600_00100","S100001_03000_00100","S100001_02000_00100","S100001_02000_00300","S100001_02300_00100","S100001_02300_00300","S100001_02000_00200","S100001_02300_00200","C000001_20200_00600","C000001_20200_00700","C000001_20200_00800","zipcode","hosp_name","address"
"030010",757634,0.079492,21848201,24118099,2969476,5615557,11817707,2646081,20157914,20157914,1600483,1600483,NA,NA,1138288311,534483804,1672772115,"85745-","CARONDELET ST. MARYS HOSPITAL","1601 W. ST. MARYS ROAD_TUCSON_AZ"
"030011",757635,0.085602,30562968,32895826,NA,3137955,15011728,3137955,20076095,20076095,1718554,1718554,NA,NA,1345134428,718574560,2063708988,"85732-","CARONDELET ST. JOSEPH HOSPITAL","350 NORTH WILMOT ROAD_TUCSON_AZ"
"190204",757868,0.207721,3945199,3965440,20241,1040807,1735078,1017709,2316017,2495971,480881,647171,179954,166290,27932197,97571214,125503411,"70461","OCHSNER MEDICAL CENTER -NORTHSHORE","100 MEDICAL CENTER DRIVE_SLIDELL_LA"
"230230",757885,0.235581,44194503,76599055,4684260,11951908,11693860,7267648,14505591,15387754,3417242,4299405,882163,882163,762648870,953534574,1716183444,"48912-1811","EDWARD W. SPARROW HOSPITAL","1215 E. MICHIGAN AVE_LANSING_MI"
"230208",758107,0.343119,1322723,3782174,1691186,2209699,699977,518513,599804,671659,205804,277659,71855,71855,5086302,58131003,63217305,"48811","CARSON CITY HOSPITAL","406 EAST ELM STREET_CARSON CITY_MI"
"390339",758178,0.410151,14513359,15425612,912253,3230501,472071,2318248,5080872,5123228,2083925,2126281,42356,42356,115453461,136497557,251951018,"17601","LANCASTER MEDICAL CENTER","2160 STATE ROAD_LANCASTER_PA"
"460003",758595,0.456301,855561,1924961,1069400,1543492,NA,474092,1038990,1038990,474092,474092,NA,NA,22198832,26152937,48351769,"84102-1507","SALT LAKE REGIONAL MEDICAL CENTER","1050 EAST SOUTH TEMPLE_SALT LAKE CITY_UT"
"140167",759187,0.405819,412684,6099593,5686909,6460265,1639808,773356,260619,263791,105764,108936,3172,3172,8559359,51560598,60119957,"60970","IROQUOIS MEMORIAL HOSPITAL","200 FAIRMAN AVENUE_WATSEKA_IL"
"500148",759615,0.483238,7608401,12669368,5060967,5975674,871918,914707,588942,841278,284599,536935,252336,252336,9430932,189250822,198681754,"98807","WENATCHEE VALLEY HOSPITAL","820 N CHELAN AVENUE_WENATCHEE_WA"
"250172",760885,0.333215,646728,900432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1581176,16558793,18139969,"38668","DELTA HEALTH-HIGHLAND HILLS","401 GETWELL DRIVE_SENATOBIA_MS"
"510012",760912,0.322426,2849317,10487253,2150006,3149481,1773259,999475,263528,605343,84968,426783,341815,341815,25316181,135706724,161022905,"25550-","PLEASANT VALLEY HOSPITAL","VALLEY DRIVE_POINT PLEASANT_WV"
"131324",761050,0.870049,1230101,2091934,714728,1265862,667347,551134,669,669,582,582,NA,NA,132752,14129158,14261910,"83213","LOST RIVERS HOSPITAL","551 HIGHLAND DRIVE_ARCO_ID"
"191303",761067,0.74326,348229,322697,NA,48261,37285,48261,28418,28659,21122,21363,241,241,NA,1132247,1132247,"70390-2217","OUR LADY OF THE LAKE ASSUMPTION COM","135 HIGHWAY 402_NAPOLEONVILLE_LA"
"451372",761108,0.888074,278621,1899623,1087793,2873551,482705,1785758,1543689,1543689,1370910,1370910,NA,NA,312763,9358402,9671165,"79347-3627","MULESHOE AREA MEDICAL CENTER","708 SOUTH FIRST STREET_MULESHOE_TX"
"250163",761151,6.580241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115259,NA,115259,"39153","PATIENTS CHOICE MED CNT-SMITH CNTY","347 MAGNOLIA DRIVE_RALEIGH_MS"
"250043",761298,0.531768,8079617,7442541,NA,2927142,4745367,2894663,391522,595269,208199,411946,203747,203747,23147342,65971106,89118448,"39350","NESHOBA COUNTY GENERAL HOSPITAL","1001 HOLLAND AVENUE_PHILADELPHIA_MS"
"100157",761628,0.168853,62317880,142727015,42249377,110581671,91788429,65339404,274904445,282876059,46417975,49263370,7971614,2845395,2477655144,2753594303,5231249447,"33805","LAKELAND REGIONAL MED CTR","1324 LAKELAND HILLS BLVD_LAKELAND_FL"
"110161",761636,0.195764,101873331,133198305,NA,149261371,97408613,149261371,553424376,575142462,108340570,130058656,21718086,21718086,2879376189,7277264219,10156640408,"30342-","NORTHSIDE HOSPITAL","1000 JOHNSON FERRY ROAD  NE_ATLANTA_GA"
"130025",761638,0.44046,13409285,19406387,NA,2108648,4497204,2108648,224567,259535,98913,133881,34968,34968,51696875,131609670,183306545,"83440-0310","MADISON MEMORIAL HOSPITAL","450 EAST MAIN ST_REXBURG_ID"
"370030",761834,0.230817,914650,1636859,722209,1213648,1033296,491439,209194,406856,48286,245948,197662,197662,3477900,26921757,30399657,"74631","BLACKWELL REGIONAL HOSPITAL","710 SOUTH 13TH_BLACKWELL_OK"
"370139",762196,0.346541,24374,513044,488670,625112,366283,136442,22687,24265,7862,9440,1578,1578,859704,7134549,7994253,"73077","PERRY MEMORIAL HOSPITAL","501 N 14TH STREET_PERRY_OK"
"010051",762236,0.929984,1765173,3835379,1862403,1896043,36173,33640,NA,NA,NA,NA,NA,NA,8009496,4002830,12012326,"35462","GREENE COUNTY HOSPITAL","509 WILSON AVENUE_EUTAW_AL"
"250018",762411,0.866437,63746,267728,203982,203982,NA,NA,NA,NA,NA,NA,NA,NA,11084106,8022277,19106383,"39422","JASPER GENERAL HOSPITAL","15 SOUTH 6TH STREET_BAY SPRINGS_MS"
"471300",762551,0.650569,1142992,2944869,1801877,2541875,954741,739998,42994,152773,27485,131033,109779,103548,8876565,31295293,40171858,"05353-0216","GRACE COTTAGE HOSPITAL","185 GRAFTON ROAD_TOWNSHEND_VT"
"110111",762795,0.220445,1182143,1424385,NA,1260605,1992547,1260605,3497976,3544551,771111,817683,46575,46572,9687416,45082932,54770348,"30824","UNIVERSITY HOSPITAL MCDUFFIE","2460 WASHINGTON RD  NE_THOMSON_GA"
"420072",762842,0.336425,2341230,3699511,418189,2124884,3356015,1706695,1427142,1523369,480126,576353,96227,96227,11834478,63906279,75740757,"29944","HAMPTON REGIONAL MEDICAL CENTER","503 CAROLINA WEST_VARNVILLE_SC"
"140052",762968,0.199933,12165766,19442521,7276755,9755924,3532916,2479169,6310957,6767896,1261769,1718708,456939,456939,86325810,332451032,418776842,"62002-4568","OSF SAINT ANTHONYS HEALTH CENTER","1 SAINT ANTHONYS WAY_ALTON_IL"
"134002",763108,NA,NA,NA,NA,21202,NA,21202,NA,NA,NA,NA,NA,NA,125092800,11024370,136117170,"83704","INTERMOUNTAIN","303 N ALLUMBAUGH STREET_BOISE_ID"
"420067",763161,0.225032,18556021,18671394,NA,8069934,26963657,7900619,5949385,6534791,1146418,1731824,585406,585406,262366264,661951629,924317893,"29902-","BEAUFORT MEMORIAL HOSPITAL","955 S. RIBAUT ROAD_BEAUFORT_SC"
"450085",763264,0.298974,1710,3196,NA,2496567,5144562,2496567,3259674,3259674,956591,956591,NA,NA,3871849,57832171,61704020,"76450-","GRAHAM REGIONAL MEDICAL CENTER","1301 MONTGOMERY ROAD_GRAHAM_TX"
"031313",763306,0.095925,8936565,8010130,6240943,7408768,5538387,1167825,5192574,5192574,498098,498098,NA,NA,41103579,152498913,193602492,"85621-","CARONDELET HOLY CROSS HOSPITAL","1171 W TARGET RANGE ROAD_NOGALES_AZ"
"070031",763314,0.188608,30412824,41096815,10683991,12713717,1770489,2029726,8887446,8887446,1676243,1676243,NA,NA,354057202,708434410,1062491612,"06418-","THE GRIFFIN HOSPITAL","130 DIVISION STREET_DERBY_CT"
"250060",763500,0.352381,455544,431417,NA,579339,1030017,579339,614252,614252,216451,216451,NA,NA,5498090,7036234,12534324,"39069-0577","JEFFERSON COUNTY HOSPITAL","809 S. MAIN STREET_FAYETTE_MS"
"180106",763688,0.277534,1122582,1926055,NA,200960,420960,200960,211151,230963,58602,78414,19812,19812,4889225,18621603,23510828,"42602","THE MEDICAL CENTER OF ALBANY","723 BURKESVILLE ROAD_ALBANY_KY"
"110189",763817,0.172828,1080287,1778834,NA,1659862,3290789,1659862,6232378,6232378,1077129,1077129,NA,NA,11562336,75796072,87358408,"30513-6248","FANNIN REGIONAL HOSPITAL","2855 OLD HIGHWAY 5 NORTH_BLUE RIDGE_GA"
"131302",763819,0.534381,10363703,9609800,NA,1011607,1508306,1011607,135166,268533,72230,205597,133367,133367,9135448,78480448,87615896,"83330-","NORTH CANYON MEDICAL CENTER","267 NORTH CANYON DRIVE_GOODING_ID"
"250097",763830,0.286093,27008445,17956249,NA,6347282,15651886,6347282,6004304,6129503,1717789,1842988,125199,125199,98916831,319693146,418609977,"39648","SOUTHWEST MS REGIONAL MED CENTER","215 MARION AVENUE_MCCOMB_MS"
"431325",763844,0.558374,2685073,3773057,1006656,2122295,1757490,1115639,240524,240524,134302,134302,NA,NA,6073752,37231469,43305221,"57601-","MOBRIDGE REGIONAL HOSPITAL","140110TH AVE WEST_MOBRIDGE_SD"
"490115",763944,0.12672,7882801,10019911,NA,915084,3311824,899094,3459645,3459645,438406,438406,NA,NA,87211936,206147395,293359331,"24333","TWIN COUNTY REGIONAL HOSPITAL","200 HOSPITAL DRIVE_GALAX_VA"
"251305",763992,0.763182,1948791,NA,NA,1373249,1592061,1336606,14919,128984,11386,125451,114065,114065,3085575,12749899,15835474,"39654","LAWRENCE COUNTY HOSPITAL","1065 EAST BROAD STREET_MONTICELLO_MS"
"010034",764070,0.602199,913858,1611441,NA,1043652,1552325,1043652,161894,185099,95551,118309,23205,22758,5641414,21061757,26703171,"36078","COMMUNITY HOSPITAL INC.","805 FRIENDSHIP DRIVE_TALLASSEE_AL"
"371324",764130,0.782411,337672,503215,52016,189590,138627,137574,24522,39635,19186,34299,15113,15113,1177779,5395449,6573228,"73834","HARPER COUNTY COMMUNITY HOSPITAL","1003 HIGHWAY 64_BUFFALO_OK"
"140110",764169,0.196032,18645689,25081962,6436273,9914860,4679802,3478587,6921778,8059703,1356890,2494815,1137925,1137925,114296120,480717914,595014034,"61350","OTTAWA REGIONAL HOSPITAL & HEALTHCAR","1100 EAST NORRIS DRIVE_OTTAWA_IL"
"241376",764194,0.562995,251839,334397,82558,558096,280174,475538,295891,448562,166049,318564,152671,152515,12394258,68886355,81280613,"56334-","GLACIAL RIDGE HOSPITAL","10 FOURTH AVENUE SE_GLENWOOD_MN"
"471301",764226,0.465528,820917,8158620,6886309,8253563,2149281,1367254,68362,403242,31824,366704,334880,334880,16169957,91547306,107717263,"05060-","GIFFORD MEDICAL CENTER","44 SOUTH MAIN STREET_RANDOLPH_VT"
"321312",764286,0.195604,668548,1442911,713962,802755,447851,88793,189811,189811,1192,1192,NA,NA,2618645,18986785,21605430,"87701","ALTA VISTA REGIONAL HOSPITAL","1235 8TH STREET_LAS VEGAS_NM"
"421301",764303,0.501684,274491,441557,NA,3382898,6831654,3382898,NA,NA,NA,NA,NA,NA,8966308,81834052,90800360,"29620","ABBEVILLE AREA MEDICAL CENTER","ABBEVILLE AREA MEDICAL CENTER_ABBEVILLE_SC"
"451300",764308,0.996966,757455,1331611,NA,1974463,763051,1974463,1241067,1241067,1237302,1237302,NA,NA,2188850,10449769,12638619,"79035-","PARMER COUNTY COMMUNITY HOSPITAL","1307 CLEVELAND STREET_FRIONA_TX"
"490005",764311,0.376079,60010134,85796471,25786337,45333706,30261848,19547369,10900289,15541151,3846105,8213675,4640862,4367570,808165772,866192768,1674358540,"22604-2540","WINCHESTER MEDICAL CENTER","1840 AMHERST STREET_WINCHESTER_VA"
"070040",764321,0.78021,NA,NA,NA,62008,84153,62008,NA,NA,NA,NA,NA,NA,11860995,NA,11860995,"06117","HEBREW HOME & HOSPITAL","ONE ABRAHAMS BLVD_WEST HARTFORD_CT"
"101307",764328,0.317572,1,3,2,179160,511879,179158,NA,NA,NA,NA,NA,NA,8123658,56173438,64297096,"32425-","DOCTORS MEMORIAL HOSPITAL","2600 HOSPITAL DRIVE_BONIFAY_FL"
"521348",764368,0.417771,6663526,8202195,1538669,3460041,2350116,1921372,1641470,1949318,685759,993607,307848,307848,15978649,128486568,144465217,"54665","VERNON MEMORIAL HOSPITAL","507 SOUTH MAIN ST_VIROQUA_WI"
"010087",764369,0.30406,74280757,49730711,NA,30313927,71780684,30313927,27555976,27623772,8378670,8446466,67796,67796,581379051,461128015,1042507066,"36617","USA HEALTH UNIVERSITY HOSPITAL","2451 UNIVERSITY HOSPITAL DRIVE_MOBILE_AL"
"031311",764371,0.294009,12384868,16596996,NA,1817289,4978147,1817289,1141688,1185207,330779,351926,43519,21147,28486915,93176588,121663503,"86047-","WINSLOW MEMORIAL HOSPITAL","1501 N WILLIAMSON AVE_WINSLOW_AZ"
"110121",764381,0.320613,3970210,4449525,NA,5045267,4080883,5014739,11131840,11266613,3569013,3703786,134773,134773,17479463,66291481,83770944,"39828-3142","GRADY GENERAL HOSPITAL","1155 5TH ST SE_CAIRO_GA"
"111331",764382,0.498498,2594015,4300682,1163248,8245820,4103702,7040867,9316226,9701046,4644120,5028940,384820,384820,25670852,47697152,73368004,"31728-","MITCHELL COUNTY HOSPITAL","90 STEPHENS STREET_CAMILLA_GA"
"131318",764385,0.706412,2492922,4400277,1422431,2315852,1181476,893421,90064,92714,63622,66272,2650,2650,2814663,28211043,31025706,"83617","WALTER KNOX MEMORIAL HOSPITAL","1202 EAST LOCUST_EMMETT_ID"
"170150",764394,0.458415,4900491,2303695,NA,1334377,2642119,1334377,73895,163210,33875,123190,89315,89315,4641937,28373470,33015407,"67005-","SOUTH CENTRAL KS REGIONAL MEDICAL CT","216 WEST BIRCH_ARKANSAS CITY_KS"
"340008",764432,0.228595,32630859,35978050,NA,14302922,25966502,14302922,31659279,32616805,7237153,8194679,957526,957526,235658193,506101741,741759934,"28352-","SCOTLAND MEMORIAL HOSPITAL","500 LAUCHWOOD DRIVE_LAURINBURG_NC"
"490033",764452,0.412328,7654079,15461298,7807219,11502499,7208483,3695280,974388,1404497,345362,739615,430109,394253,44232516,185741863,229974379,"22630","WARREN MEMORIAL HOSPITAL","351 VALLEY HEALTH WAY_FRONT ROYAL_VA"
"030138",764484,0.199372,1774330,746517,NA,18465390,2012042,18465390,NA,21210230,NA,18050546,21210230,18050546,54989043,749849640,804838683,"85338","WESTERN REGIONAL MEDICAL CENTER","14200 WEST CELEBRATE LIFE WAY_GOODYEAR_AZ"
"031307",764485,68.891109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2522,210144,212666,"85344","PARKER INDIAN HEALTH CENTER","12033 AGENCY ROAD_PARKER_AZ"
"110038",764499,0.272791,23781505,25053692,NA,29101078,26338129,29101078,72849782,74796461,19872765,21819444,1946679,1946679,343002203,595540008,938542211,"31792-","JOHN D. ARCHBOLD MEMORIAL HOSPITAL","GORDON AVENUE AT MIMOSA DRIVE_THOMASVILLE_GA"
"130071",764502,0.318283,26879071,34040200,2472677,11723712,15461337,9247870,8776380,10457250,2793373,4318497,1680870,1525124,221546987,357127933,578674920,"83687","ST. LUKES NAMPA MEDICAL CENTER","9850 W. ST. LUKES DRIVE_NAMPA_ID"
"131308",764503,0.993301,590044,1191554,601510,988957,322577,387447,52565,162357,NA,67031,109792,67031,464110,6849494,7313604,"83611-0151","CASCADE MEDICAL CENTER","402 OLD STATE HIGHWAY_CASCADE_ID"
"131310",764504,0.634992,2812931,6955596,2646945,4936599,2026222,2289654,1210525,1462941,768674,1021090,252416,252416,8590843,23675243,32266086,"83338-1851","ST. LUKES JEROME LTD","709 N. LINCOLN AVE_JEROME_ID"
"171328",764515,1.003039,136844,402436,178055,247181,77398,69126,8853,25813,788,10265,16960,9477,4445004,3134464,7579468,"67467-","GREAT PLAINS OF OTTAWA COUNTY  INC","215 EAST EIGHTH_MINNEAPOLIS_KS"
"201312",764521,0.466081,18443074,24287980,4798749,9054128,6363339,4255379,667036,1768364,310893,1405312,1101328,1094419,32064665,183566048,215630713,"04915","WALDO COUNTY GENERAL HOSPITAL","118 NORTHPORT AVENUE_BELFAST_ME"
"340068",764539,0.237397,4210515,4094660,NA,4848034,16665814,4847435,3753296,3753296,891021,891021,NA,NA,113222678,278388917,391611595,"28472-","COLUMBUS REGIONAL HEALTHCARE SYSTEM","500 JEFFERSON STREET_WHITEVILLE_NC"
"421304",764546,0.821214,950655,2212383,75470,2245862,2451728,2170392,208274,208274,171038,171038,NA,NA,2746452,20830907,23577359,"29824-","EDGEFIELD COUNTY HEALTHCARE","300 RIDGE MEDICAL PLAZA_EDGEFIELD_SC"
"010021",764568,0.243709,3055005,4814802,NA,2512717,9517551,2512717,616381,649895,150218,183732,33514,33514,21582104,114637850,136219954,"36360-","DALE MEDICAL CENTER","126 HOSPITAL_OZARK_AL"
"050169",764579,0.134031,NA,NA,NA,7013611,11297579,7013611,32546668,33299311,4362262,5114905,752643,752643,2365693753,2537962550,4903656303,"90602-","PIH HEALTH WHITTIER HOSPITAL","12401 EAST WASHINGTON BLVD_WHITTIER_CA"
"050393",764581,0.123825,NA,NA,NA,3628325,5242020,3628325,21213910,21364110,2626812,2777012,150200,150200,665982529,655319614,1321302143,"90241-7010","PIH HEALTH HOSPITAL - DOWNEY","11500 BROOKSHIRE AVENUE_DOWNEY_CA"
"110233",764591,0.18192,3220254,4638601,1418347,20320576,7506260,18902229,14488627,29350776,2635771,17497920,14862149,14862149,102873284,1207805556,1310678840,"30265","SOUTHEASTERN REGIONAL MEDICAL CENTER","600 PARKWAY NORTH_NEWNAN_GA"
"131311",764592,0.414202,5674899,8871520,2947298,5213638,3206198,2264000,1447934,1797128,599737,948931,349194,349194,22077206,76405999,98483205,"83647-","ST. LUKES ELMORE MEDICAL CENTER","895 N. SIXTH EAST_MOUNTAIN HOME_ID"
"200021",764599,0.384096,12698989,24841526,9728387,16892812,11831217,7164425,1667559,3664461,640503,2633407,1996902,1992904,163380874,395572413,558953287,"04011-3218","MID COAST HOSPITAL","123 MEDICAL CENTER DRIVE_BRUNSWICK_ME"
"220084",764600,0.458914,10941091,17432325,6491234,11547641,5630149,5056407,2803816,4089073,1286710,2571967,1285257,1285257,174559052,567494263,742053315,"01742","EMERSON HOSPITAL","113 ORNC_CONCORD_MA"
"250100",764610,0.17743,21230538,21998485,NA,25627454,20818130,12971197,50637450,50654893,8984603,9002046,17443,17443,347933299,707977840,1055911139,"39701","BAPTIST MEM HOSPITAL GOLDEN TRIANGLE","2520 FIFTH STREET NORTH_COLUMBUS_MS"
"251333",764611,0.65157,2414848,2357682,NA,1863873,1241569,1809826,1124548,1399135,732722,1007309,274587,274587,15984808,14757432,30742240,"39470","PEARL RIVER COUNTY HOSPITAL","305 WEST MOODY STREET_POPLARVILLE_MS"
"301303",764624,0.661473,7996516,9501288,1504772,2951088,1767733,1446316,112747,315176,74579,277008,202429,202429,11247811,101117842,112365653,"03584","WEEKS MEDICAL CENTER","173 MIDDLE STREET_LANCASTER_NH"
"340024",764634,0.222831,9053799,7434916,NA,4703344,10423642,4703344,10032411,10460905,2235215,2365797,428494,130582,52876402,133180629,186057031,"28328-","SAMPSON REGIONAL MEDICAL CENTER","607 BEAMAN STREET_CLINTON_NC"
"340070",764635,0.257392,45837660,31334104,NA,19294524,33113442,19292317,41381033,41381033,10651147,10651147,NA,NA,409001498,594120828,1003122326,"27215","ALAMANCE REGIONAL MEDICAL CENTER","1240 HUFFMAN MILL ROAD_BURLINGTON_NC"
"340091",764636,0.293625,261069106,172657153,NA,81638873,123680409,81627097,153882487,153882487,45183745,45183745,NA,NA,1886703787,2463653456,4350357243,"27401-","THE MOSES H. CONE MEMORIAL HOSPITAL","1200 NORTH ELM ST_GREENSBORO_NC"
"340142",764637,0.317166,2654399,2454796,NA,10047766,27625709,10047766,2088913,2706996,662532,1280615,618083,618083,129472303,381512530,510984833,"28557-","CARTERET COUNTY GENERAL HOSPITAL COM","3500 ARENDELL STREET_MOREHEAD CITY_NC"
"461310",764663,0.409069,6819099,7100236,NA,388661,896601,388661,53510,53510,21889,21889,NA,NA,6367855,37243966,43611821,"84511","BLUE MOUNTAIN HOSPITAL","802 SOUTH 200 WEST_BLANDING_UT"
"491302",764672,0.37422,4277984,8190275,3912291,5459450,3087766,1544917,905948,971866,339024,397730,65918,58706,33160248,169546148,202706396,"24134","CARILION GILES COMMUNITY HOSPITAL","159 HARTLEY WAY_PEARISBURG_VA"
"491304",764673,0.238662,5281706,7618296,2336590,3872716,3858256,1528322,1684753,1859525,402087,559566,174772,157479,41098637,181648903,222747540,"24450","CARILION ROCKBRIDGE COMMUNITY HOSP","1 HEALTH CIRCLE_LEXINGTON_VA"
"070021",764694,0.315495,15612455,26487415,13615451,16622915,3094571,3007464,5956107,6142451,1879122,2026877,186344,147755,72056217,285481246,357537463,"06226","WINDHAM COMMUNITY MEMORIAL HOSPITAL","112 MANSFIELD AVE_WILLIMANTIC_CT"
"100022",764696,0.319433,127098225,498088953,370990728,605402994,365603210,234412266,349940079,359744596,111293177,117509471,9804517,6216294,4786843301,2178763023,6965606324,"33136","JACKSON MEMORIAL","1611 NW 12TH AVENUE_MIAMI_FL"
"100087",764698,0.159975,14013026,141849644,97611257,136149304,150090954,38203198,81365621,82322925,13016465,13657460,957304,640995,3878178276,2633473959,6511652235,"34239-3509","SARASOTA MEMORIAL HOSPITAL","1700 S. TAMIAMI TRAIL_SARASOTA_FL"
"140100",764703,0.216912,5997565,3976675,NA,4871791,4742520,4871791,67705,3877243,14686,3824224,3809538,3809538,84448947,825277001,909725948,"60099","MIDWESTERN REGIONAL MEDICAL CENTER","2501 EMMAUS AVENUE_ZION_IL"
"141302",764704,0.63251,5692948,6078204,385256,903694,498141,518438,57124,224351,36132,203359,167227,167227,11362276,35733337,47095613,"61036-","MIDWEST MEDICAL CENTER","1 MEDICAL CENTER DRIVE_GALENA_IL"
"141353",764706,0.487797,1104301,1487309,383008,390899,1,7891,16177,16177,7891,7891,NA,NA,1571379,12947916,14519295,"60970","IROQUOIS MEMORIAL HOSPITAL","200 FAIRMAN AVENUE_WATSEKA_IL"
"190065",764715,0.267839,38980334,60630341,21650007,29656267,22631827,8006260,6494409,6567447,1734100,1807138,73038,73038,591297129,849733432,1441030561,"70809","BATON ROUGE GENERAL","8585 PICARDY AVENUE_BATON ROUGE_LA"
"190111",764716,0.217262,84499268,158609594,NA,19416111,48248095,19416111,34113158,35305908,7411493,8604243,1192750,1192750,1835405527,2187111713,4022517240,"32600","WILLIS-KNIGHTON HEALTH SYSTEMS","2600 GREENWOOD ROAD_SHREVEPORT_LA"
"201302",764718,0.565043,10911875,21660841,10388392,15670927,5803822,5282535,308048,2208366,174060,2074336,1900318,1900276,37991573,154920122,192911695,"04538","LINCOLNHEALTH","6 ST. ANDREWS LANE_BOOTHBAY HARBOR_ME"
"220135",764721,0.322854,12363281,18990919,4405720,6867388,3818163,2461668,3324582,3470256,1073355,1203992,145674,130637,150641211,329926366,480567577,"02574","FALMOUTH HOSPITAL","100 TER HEUN DRIVE_FALMOUTH_MA"
"250104",764727,0.256313,15348409,18643078,NA,7310593,8275349,7310593,15677722,17161881,4018404,5139366,1484159,1120962,248337657,446937399,695275056,"39301","JEFF ANDERSON REGIONAL MEDICAL CENTE","2124 14TH STREET_MERIDIAN_MS"
"251304",764729,0.864607,388738,979920,NA,1040940,1237604,1040940,NA,NA,NA,NA,NA,NA,21981770,16878208,38859978,"38921","TALLAHATCHIE CRITICAL ACCESS HOSPITA","141 DR TT LEWIS DRIVE_CHARLESTON_MS"
"251326",764730,0.694904,2468676,1719461,NA,1613345,931742,1571831,1195732,1353547,830919,988734,157815,157815,7991045,12855326,20846371,"39474-","JEFFERSON DAVIS GENERAL HOSPITAL","1102 ROSE STREET_PRENTISS_MS"
